THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
89	辉针城	Huīzhēnchéng	[xwēi ʈʂə̄n ʈʂʰə́ŋ]	輝針城	ㄏㄨㄟ ㄓㄣ ㄔㄥˊ	Huēijhēnchéng	[xwēi ʈʂə̄n ʈʂʰə́ŋ]	輝針城	Kishinjou	きしんじょう	/ki̥ɕiɴdʑoː/	辉针城	輝針城	ㄏㄨㄟ ㄓㄣ ㄔㄥˊ	輝針城	TRUE
90	若鹭姬	Ruòlùjī	[ʐwò lù tɕī]	若鷺姬	ㄖㄨㄛˋ ㄌㄨˋ ㄐㄧ	Ruòlùjī	[ʐwò lù tɕī]	わかさぎ姫	Wakasagihime	わかさぎひめ	/wakasagiçime/	若鹭姬	若鷺姬	ㄖㄨㄛˋ ㄌㄨˋ ㄐㄧ	わかさぎ姫	
91	赤蛮奇	Chìmánqí	[ʈʂʰɻ̩̀ mán tɕʰí]	赤蠻奇	ㄔˋ ㄇㄢˊ ㄑㄧˊ	Chìhmáncí	[ʈʂʰɻ̩̀ mán tɕʰí]	赤蛮奇	Sekibanki	せきばんき	/sekibaɴki/	赤蛮奇	赤蠻奇	ㄔˋ ㄇㄢˊ ㄑㄧˊ	赤蛮奇	
92	今泉影狼	Jīnquán Yǐngláng	[tɕīn tɕʰɥɛ́n ǐŋ láŋ]	今泉影狼	ㄐㄧㄣ ㄑㄩㄢˊ ㄧㄥˇ ㄌㄤˊ	Jīncyuán Yǐngláng	[tɕīn tɕʰɥɛ́n ǐŋ láŋ]	今泉影狼	Imaizumi Kagerou	いまいずみ かげろう	/imaizɯmi kageɾoː/	今泉 影狼	今泉 影狼	ㄐㄧㄣ ㄑㄩㄢˊ ㄧㄥˇ ㄌㄤˊ	今泉 影狼	
93	九十九八桥	Jiǔshíjiǔ Bāqiáo	[tɕjǒu ʂɻ̩́ tɕjǒu pā tɕʰjáu]	九十九八橋	ㄐㄧㄡˇ ㄕˊ ㄐㄧㄡˇ ㄅㄚ ㄑㄧㄠˊ	Jiǒushíhjiǒu Bāciáo	[tɕjǒu ʂɻ̩́ tɕjǒu pā tɕʰjáu]	九十九八橋	Tsukumo Yatsuhashi	つくも やつはし	/tsɯ̥kɯmo jatsɯ̥haɕi/	九十九 八桥	九十九 八橋	ㄐㄧㄡˇ ㄕˊ ㄐㄧㄡˇ \nㄅㄚ ㄑㄧㄠˊ	九十九 八橋	
94	九十九弁弁	Jiǔshíjiǔ Biànbiàn	[tɕjǒu ʂɻ̩́ tɕjǒu pjɛ̀n pjɛ̀n]	九十九弁弁	ㄐㄧㄡˇ ㄕˊ ㄐㄧㄡˇ ㄅㄧㄢˋ ㄅㄧㄢˋ	Jiǒushíhjiǒu Biànbiàn	[tɕjǒu ʂɻ̩́ tɕjǒu pjɛ̀n pjɛ̀n]	九十九弁々	Tsukumo Benben	つくも べんべん	/tsɯ̥kɯmo beɴbeɴ/	九十九 弁弁	九十九 弁弁	ㄐㄧㄡˇ ㄕˊ ㄐㄧㄡˇ \nㄅㄧㄢˋ ㄅㄧㄢˋ	九十九 弁々	
95	鬼人正邪	Guǐrén Zhèngxié	[kwěi ʐə́n ʈʂə̀ŋ ɕjé]	鬼人正邪	ㄍㄨㄟˇ ㄖㄣˊ ㄓㄥˋ ㄒㄧㄝˊ	Guěirén Jhèngsié	[kwěi ʐə́n ʈʂə̀ŋ ɕjé]	鬼人正邪	Kijin Seija	きじん せいじゃ	/kidʑiɴ seːdʑa/	鬼人正邪	鬼人 正邪	ㄍㄨㄟˇ ㄖㄣˊ ㄓㄥˋ ㄒㄧㄝˊ	鬼人 正邪	
96	少名针妙丸	Shàomíng Zhēnmiàowán	[ʂàu míŋ ʈʂə̄n mjàu wán]	少名針妙丸	ㄕㄠˋ ㄇㄧㄥˊ ㄓㄣ ㄇㄧㄠˋ ㄨㄢˊ	Shàomíng Jhēnmiàowán	[ʂàu míŋ ʈʂə̄n mjàu wán]	少名針妙丸	Sukuna Shinmyoumaru	すくな しんみょうまる	/sɯ̥kɯna ɕiɴmʲoːmaɾɯ/	少名 针妙丸	少名 針妙丸	ㄕㄠˋ ㄇㄧㄥˊ \nㄓㄣ ㄇㄧㄠˋ ㄨㄢˊ	少名 針妙丸	
97	堀川雷鼓	Kūchuān Léigǔ	[kʰū ʈʂʰwān léi kǔ]	堀川雷鼓	ㄎㄨ ㄔㄨㄢ ㄌㄟˊ ㄍㄨˇ	Kūchuān Léigǔ	[kʰū ʈʂʰwān léi kǔ]	堀川雷鼓	Horikawa Raiko	ほりかわ らいこ	/hoɾikawa ɾaiko/	堀川 雷鼓	堀川 雷鼓	ㄎㄨ ㄔㄨㄢ ㄌㄟˊ ㄍㄨˇ	堀川 雷鼓	
98	弹幕天邪鬼	Dànmù Tiānxiéguǐ	[tàn mù tʰjɛ̄n ɕjé kwěi]	彈幕天邪鬼	ㄉㄢˋ ㄇㄨˋ ㄊㄧㄢ ㄒㄧㄝˊ ㄍㄨㄟˇ	Dànmù Tiānsiéguěi	[tàn mù tʰjɛ̄n ɕjé kwěi]	弾幕アマノジャク	Danmaku Amanojaku	だんまく あまのじゃく	/daɴmakɯ amanodʑakɯ/	弹幕天邪鬼	彈幕天邪鬼	ㄉㄢˋ ㄇㄨˋ \nㄊㄧㄢ ㄒㄧㄝˊ ㄍㄨㄟˇ	弾幕\nアマノジャク	TRUE
