THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
159	铃仙二号	Língxiān Èrhào	[líŋ ɕjɛ̄n ɚ̀ xàu]	鈴仙二號	ㄌㄧㄥˊ ㄒㄧㄢ ㄦˋ ㄏㄠˋ	Língsiān Èrhào	[líŋ ɕjɛ̄n ɚ̀ xàu]	レイセン	Reisen II	れいせん	/ɾeːseɴ/	铃仙二号	鈴仙二號	ㄌㄧㄥˊ ㄒㄧㄢ ㄦˋ ㄏㄠˋ	レイセン	
159	泠仙	Língxiān	[líŋ ɕjɛ̄n]	泠仙	ㄌㄧㄥˊ ㄒㄧㄢ	Língsiān	[líŋ ɕjɛ̄n]	レイセン	Reisen II	れいせん	/ɾeːseɴ/	泠仙	泠仙	ㄌㄧㄥˊ ㄒㄧㄢ	レイセン	
160	绵月依姬	Miányuè Yījī	[mjɛ́n ɥè ī tɕī]	綿月依姬	ㄇㄧㄢˊ ㄩㄝˋ ㄧ ㄐㄧ	Miányuè Yījī	[mjɛ́n ɥè ī tɕī]	綿月依姫	Watatsuki no Yorihime	わたつき の よりひめ	/watatsɯ̥ki no joɾiçime/	绵月 依姬	綿月 依姬	ㄇㄧㄢˊ ㄩㄝˋ ㄧ ㄐㄧ	綿月 依姫	
161	绵月丰姬	Miányuè Fēngjī	[mjɛ́n ɥè fə̄ŋ tɕī]	綿月豐姬	ㄇㄧㄢˊ ㄩㄝˋ ㄈㄥ ㄐㄧ	Miányuè Fōngjī	[mjɛ́n ɥè fə̄ŋ tɕī]	綿月豊姫	Watatsuki no Toyohime	わたつき の とよひめ	/watatsɯ̥ki no tojoçime/	绵月 丰姬	綿月 豐姬	ㄇㄧㄢˊ ㄩㄝˋ ㄈㄥ ㄐㄧ	綿月 豊姫	
162	嫦娥	Cháng'é	[ʈʂʰáŋ ɤ́]	嫦娥	ㄔㄤˊ ㄜˊ	Cháng'é	[ʈʂʰáŋ ɤ́]	嫦娥	Jouga	じょうが	/dʑoːga/	嫦娥	嫦娥	ㄔㄤˊ ㄜˊ	嫦娥	
163	三月精	Sānyuèjīng	[sān ɥè tɕīŋ]	三月精	ㄙㄢ ㄩㄝˋ ㄐㄧㄥ	Sānyuèjīng	[sān ɥè tɕīŋ]	三月精	Sangetsusei	さんげつせい	/saɴgetsɯ̥seː/	三月精	三月精	ㄙㄢ ㄩㄝˋ ㄐㄧㄥ	三月精	TRUE
164	桑尼米尔克	Sāngní Mǐ'ěrkè	[sāŋ ní mǐ ɚ̌ kʰɤ̀]	桑尼米爾克	ㄙㄤ ㄋㄧˊ ㄇㄧˇ ㄦˇ ㄎㄜˋ	Sāngní Mǐ'ěrkè	[sāŋ ní mǐ ɚ̌ kʰɤ̀]	サニーミルク	Sunny Milk	さにーみるく	/saniːmiɾɯkɯ/	桑尼米尔克	桑尼米爾克	ㄙㄤ ㄋㄧˊ ㄇㄧˇ ㄦˇ ㄎㄜˋ	サニー\nミルク	
164	桑妮米尔克	Sāngnī Mǐ'ěrkè	[sāŋ nī mǐ ɚ̌ kʰɤ̀]	桑妮米爾克	ㄙㄤ ㄋㄧ ㄇㄧˇ ㄦˇ ㄎㄜˋ	Sāngnī Mǐ'ěrkè	[sāŋ nī mǐ ɚ̌ kʰɤ̀]	サニーミルク	Sunny Milk	さにーみるく	/saniːmiɾɯkɯ/	桑妮米尔克	桑妮米爾克	ㄙㄤ ㄋㄧ ㄇㄧˇ ㄦˇ ㄎㄜˋ	サニー\nミルク	
165	露娜切露德	Lùnà Qièlùdé	[lù nà tɕʰjè lù tɤ́]	露娜切露德	ㄌㄨˋ ㄋㄚˋ ㄑㄧㄝ ㄌㄨˋ ㄉㄜˊ	Lùnà Ciēlùdé	[lù nà tɕʰjē lù tɤ́]	ルナチャイルド	Luna Child	るなちゃいるど	/ɾɯnatɕaiɾɯdo/	露娜切露德	露娜切露德	ㄌㄨˋ ㄋㄚˋ ㄑㄧㄝ ㄌㄨˋ ㄉㄜˊ	ルナ\nチャイルド	
165	露娜切云德	Lùnà Qièyúndé	[lù nà tɕʰjè ýn tɤ́]	露娜切雲德	ㄌㄨˋ ㄋㄚˋ ㄑㄧㄝ ㄩㄣˊ ㄉㄜˊ	Lùnà Ciēyúndé	[lù nà tɕʰjē ýn tɤ́]	ルナチャイルド	Luna Child	るなちゃいるど	/ɾɯnatɕaiɾɯdo/	露娜切云德	露娜切雲德	ㄌㄨˋ ㄋㄚˋ ㄑㄧㄝ ㄩㄣˊ ㄉㄜˊ	ルナ\nチャイルド	
165	露娜柴尔德	Lùnà Chái'ěrdé	[lù nà ʈʂʰái ɚ̌ tɤ́]	露娜柴爾德	ㄌㄨˋ ㄋㄚˋ ㄔㄞˊ ㄦˇ ㄉㄜˊ	Lùnà Chái'ěrdé	[lù nà ʈʂʰái ɚ̌ tɤ́]	ルナチャイルド	Luna Child	るなちゃいるど	/ɾɯnatɕaiɾɯdo/	露娜柴尔德	露娜柴爾德	ㄌㄨˋ ㄋㄚˋ ㄔㄞˊ ㄦˇ ㄉㄜˊ	ルナ\nチャイルド	
166	斯塔萨菲雅	Sītǎ Sàfēiyǎ	[sɹ̩̄ tʰǎ sà fēi jǎ]	斯塔薩菲雅	ㄙ ㄊㄚˇ ㄙㄚˋ ㄈㄟ ㄧㄚˇ	Sīhtǎ Sàfēiyǎ	[sɹ̩̄ tʰǎ sà fēi jǎ]	スターサファイア	Star Sapphire	すたーさふぁいあ	/sɯ̥taːsaɸaia/	斯塔萨菲雅	斯塔薩菲雅	ㄙ ㄊㄚˇ ㄙㄚˋ ㄈㄟ ㄧㄚˇ	スター\nサファイア	
166	斯塔萨菲娅	Sītǎ Sàfēiyà	[sɹ̩̄ tʰǎ sà fēi jà]	斯塔薩菲婭	ㄙ ㄊㄚˇ ㄙㄚˋ ㄈㄟ ㄧㄚˋ	Sīhtǎ Sàfēiyà	[sɹ̩̄ tʰǎ sà fēi jà]	スターサファイア	Star Sapphire	すたーさふぁいあ	/sɯ̥taːsaɸaia/	斯塔萨菲娅	斯塔薩菲婭	ㄙ ㄊㄚˇ ㄙㄚˋ ㄈㄟ ㄧㄚˋ	スター\nサファイア	
167	茨歌仙	Cígēxiān	[tsʰɹ̩́ kɤ̄ ɕjɛ̄n]	茨歌仙	ㄘˊ ㄍㄜ ㄒㄧㄢ	Cíhgēsiān	[tsʰɹ̩́ kɤ̄ ɕjɛ̄n]	茨歌仙	Ibarakasen	いばらかせん	/ibaɾakaseɴ/	茨歌仙	茨歌仙	ㄘˊ ㄍㄜ ㄒㄧㄢ	茨歌仙	TRUE
168	茨木华扇	Címù Huáshàn	[tsʰɹ̩́ mù xwá ʂàn]	茨木華扇	ㄘˊ ㄇㄨˋ ㄏㄨㄚˊ ㄕㄢˋ	Cíhmù Huáshàn	[tsʰɹ̩́ mù xwá ʂàn]	茨木華扇	Ibaraki Kasen	いばらき かせん	/ibaɾaki kaseɴ/	茨木 华扇	茨木 華扇	ㄘˊ ㄇㄨˋ ㄏㄨㄚˊ ㄕㄢˋ	茨木 華扇	
168	茨华仙	Cí Huáxiān	[tsʰɹ̩́ xwá ɕjɛ̄n]	茨華仙	ㄘˊ ㄏㄨㄚˊ ㄒㄧㄢ	Cíh Huásiān	[tsʰɹ̩́ xwá ɕjɛ̄n]	茨木華扇	Ibaraki Kasen	いばらき かせん	/ibaɾaki kaseɴ/	茨华仙	茨華仙	ㄘˊ ㄏㄨㄚˊ ㄒㄧㄢ	茨木 華扇	
169	茨木童子之臂	Címù Tóngzǐ zhī Bì	[tsʰɹ̩́ mù tʰʊ́ŋ tsɹ̩̌ ʈʂɻ̩̄ pì]	茨木童子之臂	ㄘˊ ㄇㄨˋ ㄊㄨㄥˊ ㄗˇ ㄓ ㄅㄧˋ	Cíhmù Tóngzǐh jhīh Bì	[tsʰɹ̩́ mù tʰʊ́ŋ tsɹ̩̌ ʈʂɻ̩̄ pì]	茨木童子の腕	Ibaraki-dōji's Arm	いばらきどうじ の うで	/ibaɾakidoːdʑi no ɯde/	茨木童子之臂	茨木童子之臂	ㄘˊ ㄇㄨˋ ㄊㄨㄥˊ ㄗˇ ㄓ ㄅㄧˋ	茨木童子の腕	
170	铃奈庵	Língnài'ān	[líŋ nài ān]	鈴奈庵	ㄌㄧㄥˊ ㄋㄞˋ ㄢ	Língnài'ān	[líŋ nài ān]	鈴奈庵	Suzuunaan	すずなあん	/sɯzɯnaːɴ/	铃奈庵	鈴奈庵	ㄌㄧㄥˊ ㄋㄞˋ ㄢ	鈴奈庵	TRUE
171	本居小铃	Běnjū Xiǎolíng	[pə̌n tɕȳ ɕjǎu líŋ]	本居小鈴	ㄅㄣˇ ㄐㄩ ㄒㄧㄠˇ ㄌㄧㄥˊ	Běnjyū Siǎolíng	[pə̌n tɕȳ ɕjǎu líŋ]	本居小鈴	Motoori Kosuzu	もとおり こすず	/motoːɾi kosɯzɯ/	本居 小铃	本居 小鈴	ㄅㄣˇ ㄐㄩ ㄒㄧㄠˇ ㄌㄧㄥˊ	本居 小鈴	
172	易者	Yìzhě	[ì ʈʂɤ̌]	易者	ㄧˋ ㄓㄜˇ	Yìjhě	[ì ʈʂɤ̌]	易者	Ekisha	えきしゃ	/eki̥ɕa/	易者	易者	ㄧˋ ㄓㄜˇ	易者	
173	醉蝶华	Zuìdiéhuá	[tswèi tjé xwá]	醉蝶華	ㄗㄨㄟˋ ㄉㄧㄝˊ ㄏㄨㄚˊ	Zuèidiéhuá	[tswèi tjé xwá]	酔蝶華	Suichouka	すいちょうか	/sɯitɕoːka/	醉蝶华	醉蝶華	ㄗㄨㄟˋ ㄉㄧㄝˊ ㄏㄨㄚˊ	酔蝶華	TRUE
174	奥野田美宵	Àoyětián Měixiāo	[àu jě tʰjɛ́n měi ɕjāu]	奧野田美宵	ㄠˋ ㄧㄝˇ ㄊㄧㄢˊ ㄇㄟˇ ㄒㄧㄠ	Àoyětián Měisiāo	[àu jě tʰjɛ́n měi ɕjāu]	奥野田美宵	Okunoda Miyoi	おくのだ みよい	/okɯnoda mijoi/	奥野田 美宵	奧野田 美宵	ㄠˋ ㄧㄝˇ ㄊㄧㄢˊ ㄇㄟˇ ㄒㄧㄠ	奥野田 美宵	
175	智灵奇传	Zhìlíngqízhuàn	[ʈʂɻ̩̀ líŋ tɕʰí ʈʂwàn]	智靈奇傳	ㄓˋ ㄌㄧㄥˊ ㄑㄧˊ ㄓㄨㄢˋ	Jhìhlíngcíjhuàn	[ʈʂɻ̩̀ líŋ tɕʰí ʈʂwàn]	智霊奇伝	Chireikiden	ちれいきでん	/tɕiɾeːkideɴ/	智灵奇传	智靈奇傳	ㄓˋ ㄌㄧㄥˊ ㄑㄧˊ ㄓㄨㄢˋ	智霊奇伝	TRUE
176	犯规侦探觉	Fànguī Zhēntàn Jué	[fàn kwēi ʈʂə̄n tʰàn tɕɥé]	犯規偵探悟	ㄈㄢˋ ㄍㄨㄟ ㄓㄣ ㄊㄢˋ ㄨˋ	Fànguēi Jhēntàn Wù	[fàn kwēi ʈʂə̄n tʰàn ù]	反則探偵さとり	Hansoku Tantei Satori	はんそくたんてい さとり	/haɴsokɯ̥taɴteː satoɾi/	犯规侦探 觉	犯規偵探 悟	ㄈㄢˋ ㄍㄨㄟ ㄓㄣ ㄊㄢˋ ㄨˋ	反則探偵さとり	TRUE
177	宫出口瑞灵	Gōngchūkǒu Ruìlíng	[kʊ̄ŋ ʈʂʰū kʰǒu ʐwèi líŋ]	宮出口瑞靈	ㄍㄨㄥ ㄔㄨ ㄎㄡˇ ㄖㄨㄟˋ ㄌㄧㄥˊ	Gōngchūkǒu Ruèilíng	[kʊ̄ŋ ʈʂʰū kʰǒu ʐwèi líŋ]	宮出口瑞霊	Miyadeguchi Mizuchi	みやでぐち みずち	/mijadegɯtɕi mizɯtɕi/	宫出口 瑞灵	宮出口 瑞靈	ㄍㄨㄥ ㄔㄨ ㄎㄡˇ \nㄖㄨㄟˋ ㄌㄧㄥˊ	宮出口 瑞霊	
178	求闻史纪	Qiúwén Shǐjì	[tɕʰjóu wə́n ʂɻ̩̌ tɕì]	求聞史紀	ㄑㄧㄡˊ ㄨㄣˊ ㄕˇ ㄐㄧˋ	Cióuwún Shǐhjì	[tɕʰjóu wə́n ʂɻ̩̌ tɕì]	求聞史紀	Gumon Shiki	ぐもんしき	/gɯmoɴɕi̥ki/	求闻史纪	求聞史紀	ㄑㄧㄡˊ ㄨㄣˊ ㄕˇ ㄐㄧˋ	求聞史紀	TRUE
179	稗田阿求	Bàitián Āqiú	[pài tʰjɛ́n ā tɕʰjóu]	稗田阿求	ㄅㄞˋ ㄊㄧㄢˊ ㄚ ㄑㄧㄡˊ	Bàitián Ācióu	[pài tʰjɛ́n ā tɕʰjóu]	稗田阿求	Heida no Akyuu	ひえだ の あきゅう	/çieda no akʲɯː/	稗田 阿求	稗田 阿求	ㄅㄞˋ ㄊㄧㄢˊ ㄚ ㄑㄧㄡˊ	稗田 阿求	
180	求闻口授	Qiúwén Kǒushòu	[tɕʰjóu wə́n kʰǒu ʂòu]	求聞口授	ㄑㄧㄡˊ ㄨㄣˊ ㄎㄡˇ ㄕㄡˋ	Cióuwún Kǒushòu	[tɕʰjóu wə́n kʰǒu ʂòu]	求聞口授	Gumon Kuju	ぐもんくじゅ	/gɯmoɴkɯdʑɯ/	求闻口授	求聞口授	ㄑㄧㄡˊ ㄨㄣˊ ㄎㄡˇ ㄕㄡˋ	求聞口授	TRUE
181	文果真报	Wénguǒ Zhēnbào	[wə́n kwǒ ʈʂə̄n pàu]	文果真報	ㄨㄣˊ ㄍㄨㄛˇ ㄓㄣ ㄅㄠˋ	Wúnguǒ Jhēnbào	[wə́n kwǒ ʈʂə̄n pàu]	文果真報	Bunka Shinpou	ぶんかしんぽう	/bɯɴkaɕiɴpoː/	文果真报	文果真報	ㄨㄣˊ ㄍㄨㄛˇ ㄓㄣ ㄅㄠˋ	文果真報	TRUE
182	幻存神签	Huàncún Shénqiān	[xwàn tsʰwə́n ʂə́n tɕʰjɛ̄n]	幻存神籤	ㄏㄨㄢˋ ㄘㄨㄣˊ ㄕㄣˊ ㄑㄧㄢ	Huàncún Shénciān	[xwàn tsʰwə́n ʂə́n tɕʰjɛ̄n]	幻存神籤	Genzonmikuji	げんぞんみくじ	/geɴzoɴmikɯdʑi/	幻存神签	幻存神籤	ㄏㄨㄢˋ ㄘㄨㄣˊ ㄕㄣˊ ㄑㄧㄢ	幻存神籤	TRUE
183	幺乐团的历史	Yāoyuètuán de Lìshǐ	[jāu ɥè tʰwán tə lì ʂɻ̩̌]	幺樂團的歷史	ㄧㄠ ㄩㄝˋ ㄊㄨㄢˊ ˙ㄉㄜ ㄌㄧˋ ㄕˇ	Yāoyuètuán de Lìshǐh	[jāu ɥè tʰwán tə lì ʂɻ̩̌]	幺樂団の歴史	Yougakudan no Rekishi	ようがくだん の れきし	/joːgakɯdaɴ no ɾeki̥ɕi/	幺乐团的历史	幺樂團的歷史	ㄧㄠ ㄩㄝˋ ㄊㄨㄢˊ \n˙ㄉㄜ ㄌㄧˋ ㄕˇ	幺樂団の\n歴史	TRUE
184	蓬莱人形	Pénglái Rénxíng	[pʰə́ŋ lái ʐə́n ɕíŋ]	蓬萊人形	ㄆㄥˊ ㄌㄞˊ ㄖㄣˊ ㄒㄧㄥˊ	Pénglái Rénsíng	[pʰə́ŋ lái ʐə́n ɕíŋ]	蓬莱人形	Hourai Ningyou	ほうらいにんぎょう	/hoːɾainiɴgʲoː/	蓬莱人形	蓬萊人形	ㄆㄥˊ ㄌㄞˊ ㄖㄣˊ ㄒㄧㄥˊ	蓬莱人形	TRUE
185	莲台野夜行	Liántáiyě Yèxíng	[ljɛ́n tʰái jě jè ɕíŋ]	蓮台野夜行	ㄌㄧㄢˊ ㄊㄞˊ ㄧㄝˇ ㄧㄝˋ ㄒㄧㄥˊ	Liántáiyě Yèsíng	[ljɛ́n tʰái jě jè ɕíŋ]	蓮台野夜行	Rendaino Yakou	れんだいのやこう	/ɾeɴdainojakoː/	莲台野夜行	蓮台野夜行	ㄌㄧㄢˊ ㄊㄞˊ ㄧㄝˇ \nㄧㄝˋ ㄒㄧㄥˊ	蓮台野夜行	TRUE
186	宇佐见莲子	Yǔzuǒjiàn Liánzǐ	[y̌ tswǒ tɕjɛ̀n ljɛ́n tsɹ̩̌]	宇佐見蓮子	ㄩˇ ㄗㄨㄛˇ ㄐㄧㄢˋ ㄌㄧㄢˊ ㄗˇ	Yǔzuǒjiàn Liánzǐh	[y̌ tswǒ tɕjɛ̀n ljɛ́n tsɹ̩̌]	宇佐見蓮子	Usami Renko	うさみ れんこ	/ɯsami ɾeɴko/	宇佐见 莲子	宇佐見 蓮子	ㄩˇ ㄗㄨㄛˇ ㄐㄧㄢˋ ㄌㄧㄢˊ ㄗˇ	宇佐見 蓮子	
187	玛艾露贝莉·赫恩	Mǎ'àilùbèilì Hè'ēn	[mǎ ài lù pèi lì xɤ̀ ə̄n]	瑪艾露貝莉·赫恩	ㄇㄚˇ ㄞˋ ㄌㄨˋ ㄅㄟˋ ㄌㄧˋ ㄏㄜˋ ㄣ	Mǎ'àilùbèilì Hè'ēn	[mǎ ài lù pèi lì xɤ̀ ə̄n]	マエリベリー・ハーン	Maribel Hearn	まえりべりー はーん	/maeɾibeɾiː haːɴ/	玛艾露贝莉\n·赫恩	瑪艾露貝莉\n·赫恩	ㄇㄚˇ ㄞˋ ㄌㄨˋ ㄅㄟˋ ㄌㄧˋ \nㄏㄜˋ ㄣ	マエリベリー\n・ハーン	
188	梅莉	Méilì	[méi lì]	梅莉	ㄇㄟˊ ㄌㄧˋ	Méilì	[méi lì]	メリー	Merry?/Mary?	めりー	/meɾiː/	梅莉	梅莉	ㄇㄟˊ ㄌㄧˋ	メリー	
189	梦违科学世纪	Mèngwéi Kēxué Shìjì	[mə̀ŋ wéi kʰɤ̄ ɕɥé ʂɻ̩̀ tɕì]	夢違科學世紀	ㄇㄥˋ ㄨㄟˊ ㄎㄜ ㄒㄩㄝˊ ㄕˋ ㄐㄧˋ	Mèngwéi Kēsyué Shìhjì	[mə̀ŋ wéi kʰɤ̄ ɕɥé ʂɻ̩̀ tɕì]	夢違科学世紀	Yumetagae Kagakuseiki	ゆめたがえかがくせいき	/jɯmetagaekagakɯ̥seːki/	梦违科学世纪	夢違科學世紀	ㄇㄥˋ ㄨㄟˊ \nㄎㄜ ㄒㄩㄝˊ ㄕˋ ㄐㄧˋ	夢違科学世紀	TRUE
190	卯酉东海道	Mǎoyǒu Dōnghǎidào	[mǎu jǒu tʊ̄ŋ xǎi tàu]	卯酉東海道	ㄇㄠˇ ㄧㄡˇ ㄉㄨㄥ ㄏㄞˇ ㄉㄠˋ	Mǎoyǒu Dōnghǎidào	[mǎu jǒu tʊ̄ŋ xǎi tàu]	卯酉東海道	Bouyu Toukaidou	ぼうゆうとうかいどう	/boːjɯːtoːkaidoː/	卯酉东海道	卯酉東海道	ㄇㄠˇ ㄧㄡˇ ㄉㄨㄥ ㄏㄞˇ ㄉㄠˋ	卯酉東海道	TRUE
191	大空魔术	Dàkōng Móshù	[tà kʰʊ̄ŋ mwó ʂù]	大空魔術	ㄉㄚˋ ㄎㄨㄥ ㄇㄛˊ ㄕㄨˋ	Dàkōng Móshù	[tà kʰʊ̄ŋ mwó ʂù]	大空魔術	Oozora Majutsu	おおぞらまじゅつ	/oːzoɾamadʑɯtsɯ/	大空魔术	大空魔術	ㄉㄚˋ ㄎㄨㄥ ㄇㄛˊ ㄕㄨˋ	大空魔術	TRUE
192	未知之花 魅知之旅	Wèizhī zhī Huā Mèizhī zhī Lǚ	[wèi ʈʂɻ̩̄ ʈʂɻ̩̄ xwā mèi ʈʂɻ̩̄ ʈʂɻ̩̄ ly̌]	未知之花 魅知之旅	ㄨㄟˋ ㄓ ㄓ ㄏㄨㄚ ㄇㄟˋ ㄓ ㄓ ㄌㄩˇ	Wèijhīh jhīh Huā Mèijhīh jhīh Lyǔ	[wèi ʈʂɻ̩̄ ʈʂɻ̩̄ xwā mèi ʈʂɻ̩̄ ʈʂɻ̩̄ ly̌]	未知の花 魅知の旅	Michi no Hana, Michi no Tabi	みちのはな みちのたび	/mitɕinohana mitɕinotabi/	未知之花 \n魅知之旅	未知之花 \n魅知之旅	ㄨㄟˋ ㄓ ㄓ ㄏㄨㄚ \nㄇㄟˋ ㄓ ㄓ ㄌㄩˇ	未知の花 \n魅知の旅	TRUE
193	鸟船遗迹	Niǎochuán Yíjì	[njǎu ʈʂʰwán í tɕì]	鳥船遺蹟	ㄋㄧㄠˇ ㄔㄨㄢˊ ㄧˊ ㄐㄧ	Niǎochuán Yíjī	[njǎu ʈʂʰwán í tɕī]	鳥船遺跡	Torifune Iseki	とりふねいせき	/toɾiɸɯneːseki/	鸟船遗迹	鳥船遺蹟	ㄋㄧㄠˇ ㄔㄨㄢˊ ㄧˊ ㄐㄧ	鳥船遺跡	TRUE
194	伊奘诺物质	Yīzàngnuò Wùzhì	[ī tsàŋ nwò ù ʈʂɻ̩̀]	伊奘諾物質	ㄧ ㄗㄤˋ ㄋㄨㄛˋ ㄨˋ ㄓˊ	Yīzàngnuò Wùjhíh	[ī tsàŋ nwò ù ʈʂɻ̩́]	伊弉諾物質	Izanagi Busshitsu	いざなぎぶっしつ	/izanagibɯɕɕi̥tsɯ/	伊奘诺物质	伊奘諾物質	ㄧ ㄗㄤˋ ㄋㄨㄛˋ ㄨˋ ㄓˊ	伊弉諾物質	TRUE
195	燕石博物志	Yānshí Bówùzhì	[jɛ̄n ʂɻ̩́ pwó ù ʈʂɻ̩̀]	燕石博物志	ㄧㄢ ㄕˊ ㄅㄛˊ ㄨˋ ㄓˋ	Yānshíh Bówùjhìh	[jɛ̄n ʂɻ̩́ pwó ù ʈʂɻ̩̀]	燕石博物誌	Enseki Hakubutsushi	えんせきはくぶつし	/eɴseki̥hakɯbɯtsɯ̥ɕi/	燕石博物志	燕石博物志	ㄧㄢ ㄕˊ ㄅㄛˊ ㄨˋ ㄓˋ	燕石博物誌	TRUE
196	旧约酒馆	Jiùyuē Jiǔguǎn	[tɕjòu ɥē tɕjǒu kwǎn]	舊約酒場	ㄐㄧㄡˋ ㄩㄝ ㄐㄧㄡˇ ㄔㄤˇ	Jiòuyuē Jiǒuchǎng	[tɕjòu ɥē tɕjǒu ʈʂʰǎŋ]	旧約酒場	Kyuuyaku Sakaba	きゅうやくさかば	/kʲɯːjakɯ̥sakaba/	旧约酒馆	舊約酒場	ㄐㄧㄡˋ ㄩㄝ ㄐㄧㄡˇ ㄔㄤˇ	旧約酒場	TRUE
197	虹色的北斗七星	Hóngsè de Běidǒu Qīxīng	[xʊ́ŋ sɤ̀ tə pěi tǒu tɕʰī ɕīŋ]	虹色的北斗七星	ㄏㄨㄥˊ ㄙㄜˋ ˙ㄉㄜ ㄅㄟˇ ㄉㄡˇ ㄑㄧ ㄒㄧㄥ	Hóngsè de Běidǒu Cīsīng	[xʊ́ŋ sɤ̀ tə pěi tǒu tɕʰī ɕīŋ]	虹色のセプテントリオン	Nijiiro no Seputentorion	にじいろ の せぷてんとりおん	/nidʑiːɾo no sepɯ̥teɴtoɾioɴ/	虹色的\n北斗七星	虹色的\n北斗七星	ㄏㄨㄥˊ ㄙㄜˋ ˙ㄉㄜ \nㄅㄟˇ ㄉㄡˇ ㄑㄧ ㄒㄧㄥ	虹色の\nセプテン\nトリオン	TRUE
198	七夕坂梦幻能	Qīxī bǎn Mènghuànnéng	[tɕʰī ɕī pǎn mə̀ŋ xwàn nə́ŋ]	七夕坂夢幻能	ㄑㄧ ㄒㄧˋ ㄅㄢˇ ㄇㄥˋ ㄏㄨㄢˋ ㄋㄥˊ	Cīsì bǎn Mènghuànnéng	[tɕʰī ɕì pǎn mə̀ŋ xwàn nə́ŋ]	七夕坂夢幻能	Tanabatazaka Mugen Nou	たなばたざかむげんのう	/tanabatazakamɯgeɴnoː/	七夕坂梦幻能	七夕坂夢幻能	ㄑㄧ ㄒㄧˋ ㄅㄢˇ ㄇㄥˋ ㄏㄨㄢˋ ㄋㄥˊ	七夕坂夢幻能	TRUE
199	灵异传	Língyìzhuàn	[líŋ ì ʈʂwàn]	靈異傳	ㄌㄧㄥˊ ㄧˋ ㄓㄨㄢˋ	Língyìjhuàn	[líŋ ì ʈʂwàn]	靈異伝	Reiiden	れいいでん	/ɾeːideɴ/	灵异传	靈異傳	ㄌㄧㄥˊ ㄧˋ ㄓㄨㄢˋ	靈異伝	TRUE
200	神玉	Shényù	[ʂə́n ỳ]	神玉	ㄕㄣˊ ㄩˋ	Shényù	[ʂə́n ỳ]	シンギョク	SinGyoku	しんぎょく	/ɕiɴgʲokɯ/	神玉	神玉	ㄕㄣˊ ㄩˋ	シンギョク	
201	幽玄魔眼	Yōuxuán Móyǎn	[jōu ɕɥɛ́n mwó jɛ̌n]	幽玄魔眼	ㄧㄡ ㄒㄩㄢˊ ㄇㄛˊ ㄧㄢˇ	Yōusyuán Móyǎn	[jōu ɕɥɛ́n mwó jɛ̌n]	ユウゲンマガン	YuugenMagan	ゆうげんまがん	/jɯːgeɴmagaɴ/	幽玄魔眼	幽玄魔眼	ㄧㄡ ㄒㄩㄢˊ ㄇㄛˊ ㄧㄢˇ	ユウゲンマガン	
202	依莉斯	Yīlìsī	[ī lì sɹ̩̄]	依莉斯	ㄧ ㄌㄧˋ ㄙ	Yīlìsīh	[ī lì sɹ̩̄]	エリス	Elis	えりす	/eɾisɯ̥/	依莉斯	依莉斯	ㄧ ㄌㄧˋ ㄙ	エリス	
203	萨丽爱尔	Sàlì'ài'ěr	[sà lì ài ɚ̌]	薩麗愛爾	ㄙㄚˋ ㄌㄧˋ ㄞˋ ㄦˇ	Sàlì'ài'ěr	[sà lì ài ɚ̌]	サリエル	Sariel	さりえる	/saɾieɾɯ/	萨丽爱尔	薩麗愛爾	ㄙㄚˋ ㄌㄧˋ ㄞˋ ㄦˇ	サリエル	
203	萨丽艾尔	Sàlì'ài'ěr	[sà lì ài ɚ̌]	薩麗艾爾	ㄙㄚˋ ㄌㄧˋ ㄞˋ ㄦˇ	Sàlì'ài'ěr	[sà lì ài ɚ̌]	サリエル	Sariel	さりえる	/saɾieɾɯ/	萨丽艾尔	薩麗艾爾	ㄙㄚˋ ㄌㄧˋ ㄞˋ ㄦˇ	サリエル	
204	魅魔	Mèimó	[mèi mwó]	魅魔	ㄇㄟˋ ㄇㄛˊ	Mèimó	[mèi mwó]	魅魔	Mima	みま	/mima/	魅魔	魅魔	ㄇㄟˋ ㄇㄛˊ	魅魔	
205	菊理	Júlǐ	[tɕý lǐ]	菊理	ㄐㄩˊ ㄌㄧˇ	Jyúlǐ	[tɕý lǐ]	キクリ	Kikuri	きくり	/ki̥kɯɾi/	菊理	菊理	ㄐㄩˊ ㄌㄧˇ	キクリ	
206	矜羯罗	Jīnjiéluó	[tɕīn tɕjé lwó]	矜羯羅	ㄐㄧㄣ ㄐㄧㄝˊ ㄌㄨㄛˊ	Jīnjiéluó	[tɕīn tɕjé lwó]	コンガラ	Konngara	こんがら	/koɴgaɾa/	矜羯罗	矜羯羅	ㄐㄧㄣ ㄐㄧㄝˊ ㄌㄨㄛˊ	コンガラ	
207	封魔录	Fēngmólù	[fə̄ŋ mwó lù]	封魔錄	ㄈㄥ ㄇㄛˊ ㄌㄨˋ	Fōngmólù	[fə̄ŋ mwó lù]	封魔録	Fuumaroku	ふうまろく	/ɸɯːmaɾokɯ/	封魔录	封魔錄	ㄈㄥ ㄇㄛˊ ㄌㄨˋ	封魔録	TRUE
